meeting_id,chan,rtf,preprocessing time,audio length
Buw001,chan1.sph,0.011319171055067075,7.0916924476623535,4109.0
Buw001,chan3.sph,0.011500562780876467,7.146755695343018,4109.0
Buw001,chan2.sph,0.011286911678824816,6.859179496765137,4109.0
Buw001,chanA.sph,0.011284643748868959,6.740704774856567,4109.0
Buw001,chan7.sph,0.01116831195293537,8.614823341369629,4109.0
Buw001,chanB.sph,0.011291672649102712,6.865982532501221,4109.0
Buw001,chan6.sph,0.01130594885224523,8.531423807144165,4109.0
Buw001,chan8.sph,0.011484978750518534,6.941093683242798,4109.0
Buw001,chan9.sph,0.011618345465733204,6.872843265533447,4109.0
Buw001,chan0.sph,0.011305786452289914,7.1796486377716064,4109.0
Bro015,chan5.sph,0.011317192333440964,1.8398175239562988,1014.8
Bro015,chan1.sph,0.01134270101679936,1.963162899017334,1014.8
Bro015,chan3.sph,0.011316199849617025,1.9634075164794922,1014.8
Bro015,chan2.sph,0.011376721450415097,1.9265477657318115,1014.8
Bro015,chan7.sph,0.011323584643319971,2.0260093212127686,1014.8
Bro015,chan4.sph,0.011197305540188964,1.905872106552124,1014.8
Bro015,chan6.sph,0.011204188404752366,2.016845703125,1014.8
Bro015,chan0.sph,0.011317809918380696,1.7686598300933838,1014.8
Bmr029,chan7.sph,0.011304641352049451,4.596067190170288,2596.8
Bmr029,chan4.sph,0.011166299396709241,4.408955097198486,2596.8
Bmr029,chan6.sph,0.011185675443265443,4.721008062362671,2596.8
Bmr029,chan9.sph,0.011348311940112822,4.549576044082642,2596.8
Bmr029,chan0.sph,0.011180911067912259,4.477734804153442,2596.8
Bmr029,chan2.sph,0.011316447846880682,4.655474424362183,2596.8
Bmr029,chan1.sph,0.011294911853780882,4.678203582763672,2596.8
Bmr029,chan3.sph,0.011162229300977562,4.4617908000946045,2596.8
